record_id,paper_dataset,original_problem_id,source_eq_id,target_eq_id,vampire,eprover,twee_complete
alps4141::alps_537c9f751748_to_Equation2,alps4141,alps_537c9f751748_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_91238e0e5380_to_Equation2,alps4141,alps_91238e0e5380_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_743fc10d41d3_to_Equation2,alps4141,alps_743fc10d41d3_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_92aa125c864e_to_Equation2,alps4141,alps_92aa125c864e_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_42f1c21637dd_to_Equation2,alps4141,alps_42f1c21637dd_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_c70848cb3c9b_to_Equation2,alps4141,alps_c70848cb3c9b_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_35077016bce9_to_Equation2,alps4141,alps_35077016bce9_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_296cb8661d34_to_Equation2,alps4141,alps_296cb8661d34_to_Equation2,,,theorem,resource_exhausted,theorem
alps4141::alps_40c2c2120f2a_to_Equation2,alps4141,alps_40c2c2120f2a_to_Equation2,,,theorem,resource_exhausted,theorem
alps4141::alps_aae98e06b268_to_Equation2,alps4141,alps_aae98e06b268_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_7c70425a9763_to_Equation2,alps4141,alps_7c70425a9763_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_e52d210f08e4_to_Equation2,alps4141,alps_e52d210f08e4_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_fa5a60ffde6a_to_Equation2,alps4141,alps_fa5a60ffde6a_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_18ae895079e0_to_Equation2,alps4141,alps_18ae895079e0_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_e03265b3e15e_to_Equation2,alps4141,alps_e03265b3e15e_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_857e18efa1cd_to_Equation2,alps4141,alps_857e18efa1cd_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_d62e5b61b0b7_to_Equation2,alps4141,alps_d62e5b61b0b7_to_Equation2,,,memory_limit,resource_exhausted,theorem
alps4141::alps_33daa57264e2_to_Equation2,alps4141,alps_33daa57264e2_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_da445057ceca_to_Equation2,alps4141,alps_da445057ceca_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_eeeb634db908_to_Equation2,alps4141,alps_eeeb634db908_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_b125ad6cd5e9_to_Equation2,alps4141,alps_b125ad6cd5e9_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_9cd3e63e827a_to_Equation2,alps4141,alps_9cd3e63e827a_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_5feb7f377dc9_to_Equation2,alps4141,alps_5feb7f377dc9_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_c32d5a1592bb_to_Equation2,alps4141,alps_c32d5a1592bb_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_ad19db2e954e_to_Equation2,alps4141,alps_ad19db2e954e_to_Equation2,,,memory_limit,resource_exhausted,theorem
alps4141::alps_2808bfed134b_to_Equation2,alps4141,alps_2808bfed134b_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_f926f366a7ad_to_Equation2,alps4141,alps_f926f366a7ad_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_ae8179d7e5e5_to_Equation2,alps4141,alps_ae8179d7e5e5_to_Equation2,,,memory_limit,theorem,theorem
alps4141::alps_e53d47c855a6_to_Equation2,alps4141,alps_e53d47c855a6_to_Equation2,,,memory_limit,theorem,theorem
alps4141::alps_c1ac32ef7017_to_Equation2,alps4141,alps_c1ac32ef7017_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_1c3c782f58b4_to_Equation2,alps4141,alps_1c3c782f58b4_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_9d9a02c8a41a_to_Equation2,alps4141,alps_9d9a02c8a41a_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_df188cde13cb_to_Equation2,alps4141,alps_df188cde13cb_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_52a9b3f84689_to_Equation2,alps4141,alps_52a9b3f84689_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_35811c067357_to_Equation2,alps4141,alps_35811c067357_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_ec626d766ce0_to_Equation2,alps4141,alps_ec626d766ce0_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_bc4a03d33661_to_Equation2,alps4141,alps_bc4a03d33661_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_c868a25c562e_to_Equation2,alps4141,alps_c868a25c562e_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_af89d3536c75_to_Equation2,alps4141,alps_af89d3536c75_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_2314a3dbfed1_to_Equation2,alps4141,alps_2314a3dbfed1_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_46afc27b2c54_to_Equation2,alps4141,alps_46afc27b2c54_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_ceffa3662191_to_Equation2,alps4141,alps_ceffa3662191_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_bfeef5b8f6a6_to_Equation2,alps4141,alps_bfeef5b8f6a6_to_Equation2,,,resource_exhausted,theorem,resource_exhausted
alps4141::alps_bec915c9aa82_to_Equation2,alps4141,alps_bec915c9aa82_to_Equation2,,,theorem,theorem,theorem
alps4141::alps_176b5d63fb53_to_Equation2,alps4141,alps_176b5d63fb53_to_Equation2,,,memory_limit,resource_exhausted,theorem
alps4141::alps_925ee9100340_to_Equation2,alps4141,alps_925ee9100340_to_Equation2,,,memory_limit,theorem,theorem
alps4141::alps_5bbd90e02bae_to_Equation2,alps4141,alps_5bbd90e02bae_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_d0a3e43577c3_to_Equation2,alps4141,alps_d0a3e43577c3_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_62d3c815c639_to_Equation2,alps4141,alps_62d3c815c639_to_Equation2,,,theorem,resource_exhausted,theorem
alps4141::alps_60122c4f0f6e_to_Equation2,alps4141,alps_60122c4f0f6e_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_e331b700671f_to_Equation2,alps4141,alps_e331b700671f_to_Equation2,,,resource_exhausted,theorem,theorem
alps4141::alps_64c498371aa1_to_Equation2,alps4141,alps_64c498371aa1_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_c839eea77890_to_Equation2,alps4141,alps_c839eea77890_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
alps4141::alps_b0f01e3733eb_to_Equation2,alps4141,alps_b0f01e3733eb_to_Equation2,,,resource_exhausted,resource_exhausted,theorem
