equation_id,dual_pair_index,equation,our_status,our_verdict,subprocedure,orientation,certificate_sha256,known_in_alps_before_our_work,alps_stage,alps_config,alps_screening_status,alps_pool_tier,alps_pool_baseline_resolution,novel_relative_to_alps
E36713,24,x = (((y * y) * z) * (y * x)) * y,accepted,false,trace,selected tuned profile,a30cfd4f92e26ae301f41ecda0c21a797c90f5ee34963a4427dd7894870304e1,no,,,NO_FINITE_MODEL,hard,null,yes
E9384,25,x = y * ((x * z) * (y * (z * z))),accepted,false,trace,selected tuned profile,f8b51efc5c98624040c9d8463b99dd00cc1b509ca69d6c9469f82a35ac9759a6,no,,,NO_FINITE_MODEL,hard,null,yes
E36714,25,x = (((y * y) * z) * (y * x)) * z,accepted,false,trace,selected tuned profile,0966dd3068764a22d65b781324650086dca8e1f72973cf35be423a8298137ee4,no,,,NO_FINITE_MODEL,hard,null,yes
E9667,28,x = y * ((z * y) * (x * (y * y))),accepted,false,trace,selected tuned profile,86c71ccd2c180455e9accd96866c5322e6093260155275b61724b75a75b9dc19,no,,,NO_FINITE_MODEL,hard,null,yes
E36638,28,x = (((y * y) * x) * (y * z)) * y,accepted,false,trace,selected tuned profile,e57d80b3320185ba207b0665209190b5eba05636afa32f6452c830815309e0f4,no,,,NO_FINITE_MODEL,hard,null,yes
E9680,29,x = y * ((z * y) * (y * (x * y))),accepted,false,trace,selected tuned profile,d66bf88f194848503fa6bc93f102672898dc334e149a91f2a8ac3fe132c0d859,no,,,NO_FINITE_MODEL,hard,null,yes
E36524,29,x = (((y * x) * y) * (y * z)) * y,accepted,false,trace,selected tuned profile,f2ce1b4fabd6d6eeb42eb4cf9bcaa0c43deef20b9fe84f2bb4f3a956c161b683,no,,,NO_FINITE_MODEL,hard,null,yes
E11081,32,x = y * ((x * (y * x)) * (z * y)),accepted,false,trace,selected tuned profile,de18545334ee229475fbe2ce6dec26f7a98fa2b0b054ee9c6581466a373dd8b6,no,,,NO_FINITE_MODEL,hard,null,yes
E35036,32,x = ((y * z) * ((x * y) * x)) * y,accepted,false,trace,selected tuned profile,60b549b3215124ce499c5c90b4599b5130c1990168ae9a50803297702b13696d,no,,,NO_FINITE_MODEL,hard,null,yes
E11116,34,x = y * ((x * (z * x)) * (y * y)),accepted,false,trace,selected tuned profile,6eed1d8d3a3e3913b3e641e283ddfa432299a2bd7a3d01c3fd464b3428cd99d7,no,,,NO_FINITE_MODEL,hard,null,yes
E34888,34,x = ((y * y) * ((x * z) * x)) * y,accepted,false,trace,selected tuned profile,e752901125ddfa70a91067f662c7c08787261dec674372d62f1f46ed16c08749,no,,,NO_FINITE_MODEL,hard,null,yes
E19966,47,x = (y * y) * ((x * (x * z)) * z),accepted,false,cnf,selected tuned profile,0e1e14dbed48b5fbabbb690d21d7186cd004b253df08706a34b75cd38d984419,yes,residual portfolio,twee/complete,NO_FINITE_MODEL,resolved_by_baseline,"{""budget_s"": 30, ""config"": ""twee/complete"", ""verdict"": ""AUSTIN""}",no
E26105,47,x = (y * ((y * x) * x)) * (z * z),accepted,false,cnf,selected tuned profile,a146e099576e34f204424c21705d50b6597e85707d83c0122a6b1551aca6a069,yes,residual portfolio,twee/complete,NO_FINITE_MODEL,resolved_by_baseline,"{""budget_s"": 30, ""config"": ""twee/complete"", ""verdict"": ""AUSTIN""}",no
E22619,48,x = (y * (y * x)) * ((z * z) * z),accepted,false,guarded,selected tuned profile,96d8e090592510bbaa322cd3959d4adea9274ef338e7af250b334714c608e91f,yes,residual portfolio,twee/complete,NO_FINITE_MODEL,resolved_by_baseline,"{""budget_s"": 30, ""config"": ""twee/complete"", ""verdict"": ""AUSTIN""}",no
E22634,48,x = (y * (y * y)) * ((x * z) * z),accepted,false,guarded,selected tuned profile,2d07322dd8d3b5a6d41bebe4e5333cad32486b582fd263e7c1d860c01b1998c3,yes,residual portfolio,twee/complete,NO_FINITE_MODEL,resolved_by_baseline,"{""budget_s"": 30, ""config"": ""twee/complete"", ""verdict"": ""AUSTIN""}",no
