equivalence,group_id,group_size,sources,record_id,paper_dataset,original_problem_id,source_eq_id,target_eq_id,equation1,equation2
exact,exact_6bff283b83a3cfa9,2,alps4141+austin96,alps4141::alps_59c4d40203e1_to_Equation2,alps4141,alps_59c4d40203e1_to_Equation2,9000010,2,x =  (((y * (y * z)) * y) * x) * y,x = y
exact,exact_13fa4c15fcad58a2,2,alps4141+austin96,austin96::order5_austin_unknown_E39126_to_E2,austin96,order5_austin_unknown_E39126_to_E2,39126,2,x = (((y * x) * (x * z)) * y) * y,x = y
exact,exact_13fa4c15fcad58a2,2,alps4141+austin96,alps4141::alps_cfe08066ab0e_to_Equation2,alps4141,alps_cfe08066ab0e_to_Equation2,9000011,2,x =  (((y * x) * (x * z)) * y) * y,x = y
exact,exact_f62e1b6ca4085d65,2,alps4141+austin96,austin96::order5_austin_unknown_E39163_to_E2,austin96,order5_austin_unknown_E39163_to_E2,39163,2,x = (((y * x) * (y * z)) * y) * y,x = y
exact,exact_f62e1b6ca4085d65,2,alps4141+austin96,alps4141::alps_f43e0e47fa62_to_Equation2,alps4141,alps_f43e0e47fa62_to_Equation2,9000012,2,x =  (((y * x) * (y * z)) * y) * y,x = y
exact,exact_838289cf342a7546,2,alps4141+austin96,austin96::order5_austin_unknown_E39214_to_E2,austin96,order5_austin_unknown_E39214_to_E2,39214,2,x = (((y * x) * (z * z)) * y) * y,x = y
exact,exact_838289cf342a7546,2,alps4141+austin96,alps4141::alps_f7a8cca6e60b_to_Equation2,alps4141,alps_f7a8cca6e60b_to_Equation2,9000013,2,x =  (((y * x) * (z * z)) * y) * y,x = y
exact,exact_216e2903623df12f,2,alps4141+austin96,austin96::order5_austin_unknown_E36487_to_E2,austin96,order5_austin_unknown_E36487_to_E2,36487,2,x = (((y * x) * x) * (y * z)) * y,x = y
exact,exact_216e2903623df12f,2,alps4141+austin96,alps4141::alps_bb917a83c330_to_Equation2,alps4141,alps_bb917a83c330_to_Equation2,9000014,2,x =  (((y * x) * x) * (y * z)) * y,x = y
exact,exact_0c853e1437e38d37,2,alps4141+austin96,austin96::order5_austin_unknown_E36514_to_E2,austin96,order5_austin_unknown_E36514_to_E2,36514,2,x = (((y * x) * y) * (x * z)) * y,x = y
exact,exact_0c853e1437e38d37,2,alps4141+austin96,alps4141::alps_6971ac9553e4_to_Equation2,alps4141,alps_6971ac9553e4_to_Equation2,9000015,2,x =  (((y * x) * y) * (x * z)) * y,x = y
exact,exact_17714749a98a3f2e,2,alps4141+austin96,austin96::order5_austin_unknown_E36524_to_E2,austin96,order5_austin_unknown_E36524_to_E2,36524,2,x = (((y * x) * y) * (y * z)) * y,x = y
exact,exact_17714749a98a3f2e,2,alps4141+austin96,alps4141::alps_a75197ba71c2_to_Equation2,alps4141,alps_a75197ba71c2_to_Equation2,9000016,2,x =  (((y * x) * y) * (y * z)) * y,x = y
exact,exact_3254acac297c6761,2,alps4141+austin96,austin96::order5_austin_unknown_E36638_to_E2,austin96,order5_austin_unknown_E36638_to_E2,36638,2,x = (((y * y) * x) * (y * z)) * y,x = y
exact,exact_3254acac297c6761,2,alps4141+austin96,alps4141::alps_0314c4278387_to_Equation2,alps4141,alps_0314c4278387_to_Equation2,9000017,2,x =  (((y * y) * x) * (y * z)) * y,x = y
exact,exact_f29962ea3314ce66,2,alps4141+austin96,austin96::order5_austin_unknown_E36713_to_E2,austin96,order5_austin_unknown_E36713_to_E2,36713,2,x = (((y * y) * z) * (y * x)) * y,x = y
exact,exact_f29962ea3314ce66,2,alps4141+austin96,alps4141::alps_69629f506446_to_Equation2,alps4141,alps_69629f506446_to_Equation2,9000018,2,x =  (((y * y) * z) * (y * x)) * y,x = y
exact,exact_a4c355d049ba6352,2,alps4141+austin96,austin96::order5_austin_unknown_E36714_to_E2,austin96,order5_austin_unknown_E36714_to_E2,36714,2,x = (((y * y) * z) * (y * x)) * z,x = y
exact,exact_a4c355d049ba6352,2,alps4141+austin96,alps4141::alps_284714b901e2_to_Equation2,alps4141,alps_284714b901e2_to_Equation2,9000019,2,x =  (((y * y) * z) * (y * x)) * z,x = y
exact,exact_b5b2fa9a56530c5f,2,alps4141+austin96,austin96::order5_austin_unknown_E39485_to_E2,austin96,order5_austin_unknown_E39485_to_E2,39485,2,x = (((y * z) * (y * x)) * y) * y,x = y
exact,exact_b5b2fa9a56530c5f,2,alps4141+austin96,alps4141::alps_a87f41c03efb_to_Equation2,alps4141,alps_a87f41c03efb_to_Equation2,9000020,2,x =  (((y * z) * (y * x)) * y) * y,x = y
exact,exact_de5382e90dbaf5ff,2,alps4141+austin96,austin96::order5_austin_unknown_E36867_to_E2,austin96,order5_austin_unknown_E36867_to_E2,36867,2,x = (((y * z) * y) * (y * x)) * y,x = y
exact,exact_de5382e90dbaf5ff,2,alps4141+austin96,alps4141::alps_788bc8c71235_to_Equation2,alps4141,alps_788bc8c71235_to_Equation2,9000021,2,x =  (((y * z) * y) * (y * x)) * y,x = y
exact,exact_55aa58bf9865cdd6,2,alps4141+austin96,austin96::order5_austin_unknown_E38249_to_E2,austin96,order5_austin_unknown_E38249_to_E2,38249,2,x = ((y * ((x * x) * z)) * y) * y,x = y
exact,exact_55aa58bf9865cdd6,2,alps4141+austin96,alps4141::alps_4157824084b3_to_Equation2,alps4141,alps_4157824084b3_to_Equation2,9000022,2,x =  ((y * ((x * x) * z)) * y) * y,x = y
exact,exact_80f40ae6765f520c,2,alps4141+austin96,austin96::order5_austin_unknown_E38303_to_E2,austin96,order5_austin_unknown_E38303_to_E2,38303,2,x = ((y * ((x * z) * x)) * y) * y,x = y
exact,exact_80f40ae6765f520c,2,alps4141+austin96,alps4141::alps_a81ce0fe4b15_to_Equation2,alps4141,alps_a81ce0fe4b15_to_Equation2,9000023,2,x =  ((y * ((x * z) * x)) * y) * y,x = y
exact,exact_db459024e8349408,2,alps4141+austin96,austin96::order5_austin_unknown_E38316_to_E2,austin96,order5_austin_unknown_E38316_to_E2,38316,2,x = ((y * ((x * z) * y)) * x) * y,x = y
exact,exact_db459024e8349408,2,alps4141+austin96,alps4141::alps_a2f0ae56f7b8_to_Equation2,alps4141,alps_a2f0ae56f7b8_to_Equation2,9000024,2,x =  ((y * ((x * z) * y)) * x) * y,x = y
exact,exact_a43dac83bd41e620,2,alps4141+austin96,austin96::order5_austin_unknown_E38565_to_E2,austin96,order5_austin_unknown_E38565_to_E2,38565,2,x = ((y * ((z * x) * z)) * y) * y,x = y
exact,exact_a43dac83bd41e620,2,alps4141+austin96,alps4141::alps_37a16d42de2f_to_Equation2,alps4141,alps_37a16d42de2f_to_Equation2,9000025,2,x =  ((y * ((z * x) * z)) * y) * y,x = y
exact,exact_88f37c08cc0e939d,2,alps4141+austin96,austin96::order5_austin_unknown_E35685_to_E2,austin96,order5_austin_unknown_E35685_to_E2,35685,2,x = ((y * (x * z)) * (y * x)) * y,x = y
exact,exact_88f37c08cc0e939d,2,alps4141+austin96,alps4141::alps_753a494a6acf_to_Equation2,alps4141,alps_753a494a6acf_to_Equation2,9000026,2,x =  ((y * (x * z)) * (y * x)) * y,x = y
exact,exact_9d3329d6f4a110af,2,alps4141+austin96,austin96::order5_austin_unknown_E37519_to_E2,austin96,order5_austin_unknown_E37519_to_E2,37519,2,x = ((y * (y * (x * z))) * x) * y,x = y
exact,exact_9d3329d6f4a110af,2,alps4141+austin96,alps4141::alps_ac6f98b7c005_to_Equation2,alps4141,alps_ac6f98b7c005_to_Equation2,9000027,2,x =  ((y * (y * (x * z))) * x) * y,x = y
exact,exact_b2cdcf94aa0b0368,2,alps4141+austin96,austin96::order5_austin_unknown_E27859_to_E2,austin96,order5_austin_unknown_E27859_to_E2,27859,2,x = ((y * (y * x)) * x) * (z * z),x = y
exact,exact_b2cdcf94aa0b0368,2,alps4141+austin96,alps4141::alps_ea36ed16fdb5_to_Equation2,alps4141,alps_ea36ed16fdb5_to_Equation2,9000028,2,x =  ((y * (y * x)) * x) * (z * z),x = y
exact,exact_59ec39aaa506115d,2,alps4141+austin96,austin96::order5_austin_unknown_E35836_to_E2,austin96,order5_austin_unknown_E35836_to_E2,35836,2,x = ((y * (y * z)) * (y * x)) * y,x = y
exact,exact_59ec39aaa506115d,2,alps4141+austin96,alps4141::alps_7dd9f8dc6a01_to_Equation2,alps4141,alps_7dd9f8dc6a01_to_Equation2,9000029,2,x =  ((y * (y * z)) * (y * x)) * y,x = y
exact,exact_55619cdc3c4ecd12,2,alps4141+austin96,austin96::order5_austin_unknown_E34778_to_E2,austin96,order5_austin_unknown_E34778_to_E2,34778,2,x = ((y * x) * ((y * z) * y)) * y,x = y
exact,exact_55619cdc3c4ecd12,2,alps4141+austin96,alps4141::alps_a5931cfa5e0f_to_Equation2,alps4141,alps_a5931cfa5e0f_to_Equation2,9000030,2,x =  ((y * x) * ((y * z) * y)) * y,x = y
exact,exact_1f20c644f4bdf900,2,alps4141+austin96,austin96::order5_austin_unknown_E33883_to_E2,austin96,order5_austin_unknown_E33883_to_E2,33883,2,x = ((y * x) * (y * (x * z))) * y,x = y
exact,exact_1f20c644f4bdf900,2,alps4141+austin96,alps4141::alps_f295fd4f07be_to_Equation2,alps4141,alps_f295fd4f07be_to_Equation2,9000031,2,x =  ((y * x) * (y * (x * z))) * y,x = y
exact,exact_8c593405f4980849,2,alps4141+austin96,austin96::order5_austin_unknown_E33884_to_E2,austin96,order5_austin_unknown_E33884_to_E2,33884,2,x = ((y * x) * (y * (x * z))) * z,x = y
exact,exact_8c593405f4980849,2,alps4141+austin96,alps4141::alps_eab11fb7cbbc_to_Equation2,alps4141,alps_eab11fb7cbbc_to_Equation2,9000032,2,x =  ((y * x) * (y * (x * z))) * z,x = y
exact,exact_ba31476ed90beda9,2,alps4141+austin96,austin96::order5_austin_unknown_E34888_to_E2,austin96,order5_austin_unknown_E34888_to_E2,34888,2,x = ((y * y) * ((x * z) * x)) * y,x = y
exact,exact_ba31476ed90beda9,2,alps4141+austin96,alps4141::alps_37ef095c0b7a_to_Equation2,alps4141,alps_37ef095c0b7a_to_Equation2,9000033,2,x =  ((y * y) * ((x * z) * x)) * y,x = y
exact,exact_d108e8a9b650cefc,2,alps4141+austin96,austin96::order5_austin_unknown_E34889_to_E2,austin96,order5_austin_unknown_E34889_to_E2,34889,2,x = ((y * y) * ((x * z) * x)) * z,x = y
exact,exact_d108e8a9b650cefc,2,alps4141+austin96,alps4141::alps_d94cc63c4e10_to_Equation2,alps4141,alps_d94cc63c4e10_to_Equation2,9000034,2,x =  ((y * y) * ((x * z) * x)) * z,x = y
exact,exact_5c35e28bd3f8e38b,2,alps4141+austin96,austin96::order5_austin_unknown_E33998_to_E2,austin96,order5_austin_unknown_E33998_to_E2,33998,2,x = ((y * y) * (x * (x * z))) * z,x = y
exact,exact_5c35e28bd3f8e38b,2,alps4141+austin96,alps4141::alps_8a4684939608_to_Equation2,alps4141,alps_8a4684939608_to_Equation2,9000035,2,x =  ((y * y) * (x * (x * z))) * z,x = y
exact,exact_672f355f9498af34,2,alps4141+austin96,austin96::order5_austin_unknown_E35036_to_E2,austin96,order5_austin_unknown_E35036_to_E2,35036,2,x = ((y * z) * ((x * y) * x)) * y,x = y
exact,exact_672f355f9498af34,2,alps4141+austin96,alps4141::alps_d131c2197cba_to_Equation2,alps4141,alps_d131c2197cba_to_Equation2,9000036,2,x =  ((y * z) * ((x * y) * x)) * y,x = y
exact,exact_7d3c249e5c633a89,2,alps4141+austin96,austin96::order5_austin_unknown_E35100_to_E2,austin96,order5_austin_unknown_E35100_to_E2,35100,2,x = ((y * z) * ((y * x) * y)) * y,x = y
exact,exact_7d3c249e5c633a89,2,alps4141+austin96,alps4141::alps_98f1e81f7af4_to_Equation2,alps4141,alps_98f1e81f7af4_to_Equation2,9000037,2,x =  ((y * z) * ((y * x) * y)) * y,x = y
exact,exact_9f2368a56e502bad,2,alps4141+austin96,austin96::order5_austin_unknown_E33020_to_E2,austin96,order5_austin_unknown_E33020_to_E2,33020,2,x = (y * (((x * y) * z) * x)) * y,x = y
exact,exact_9f2368a56e502bad,2,alps4141+austin96,alps4141::alps_6b67c0715468_to_Equation2,alps4141,alps_6b67c0715468_to_Equation2,9000038,2,x =  (y * (((x * y) * z) * x)) * y,x = y
exact,exact_b97ce60420edcc94,2,alps4141+austin96,austin96::order5_austin_unknown_E32280_to_E2,austin96,order5_austin_unknown_E32280_to_E2,32280,2,x = (y * ((y * (y * x)) * z)) * y,x = y
exact,exact_b97ce60420edcc94,2,alps4141+austin96,alps4141::alps_a18c024f830c_to_Equation2,alps4141,alps_a18c024f830c_to_Equation2,9000039,2,x =  (y * ((y * (y * x)) * z)) * y,x = y
exact,exact_642f4105b6a7a947,2,alps4141+austin96,austin96::order5_austin_unknown_E32281_to_E2,austin96,order5_austin_unknown_E32281_to_E2,32281,2,x = (y * ((y * (y * x)) * z)) * z,x = y
exact,exact_642f4105b6a7a947,2,alps4141+austin96,alps4141::alps_8959f7265a45_to_Equation2,alps4141,alps_8959f7265a45_to_Equation2,9000040,2,x =  (y * ((y * (y * x)) * z)) * z,x = y
exact,exact_c750322f6488b524,2,alps4141+austin96,austin96::order5_austin_unknown_E32294_to_E2,austin96,order5_austin_unknown_E32294_to_E2,32294,2,x = (y * ((y * (y * z)) * x)) * y,x = y
exact,exact_c750322f6488b524,2,alps4141+austin96,alps4141::alps_e3712dc07af0_to_Equation2,alps4141,alps_e3712dc07af0_to_Equation2,9000041,2,x =  (y * ((y * (y * z)) * x)) * y,x = y
exact,exact_46782e52cf5bb50e,2,alps4141+austin96,austin96::order5_austin_unknown_E26105_to_E2,austin96,order5_austin_unknown_E26105_to_E2,26105,2,x = (y * ((y * x) * x)) * (z * z),x = y
exact,exact_46782e52cf5bb50e,2,alps4141+austin96,alps4141::alps_2871d801403c_to_Equation2,alps4141,alps_2871d801403c_to_Equation2,9000042,2,x =  (y * ((y * x) * x)) * (z * z),x = y
exact,exact_4d8874dc97a1cd83,2,alps4141+austin96,austin96::order5_austin_unknown_E22619_to_E2,austin96,order5_austin_unknown_E22619_to_E2,22619,2,x = (y * (y * x)) * ((z * z) * z),x = y
exact,exact_4d8874dc97a1cd83,2,alps4141+austin96,alps4141::alps_5f6e2e021a7a_to_Equation2,alps4141,alps_5f6e2e021a7a_to_Equation2,9000043,2,x =  (y * (y * x)) * ((z * z) * z),x = y
exact,exact_4763660f08798377,2,alps4141+austin96,austin96::order5_austin_unknown_E22634_to_E2,austin96,order5_austin_unknown_E22634_to_E2,22634,2,x = (y * (y * y)) * ((x * z) * z),x = y
exact,exact_4763660f08798377,2,alps4141+austin96,alps4141::alps_7389dfd73915_to_Equation2,alps4141,alps_7389dfd73915_to_Equation2,9000044,2,x =  (y * (y * y)) * ((x * z) * z),x = y
exact,exact_8bd3b9a8058f6f0f,2,alps4141+austin96,austin96::order5_austin_unknown_E19966_to_E2,austin96,order5_austin_unknown_E19966_to_E2,19966,2,x = (y * y) * ((x * (x * z)) * z),x = y
exact,exact_8bd3b9a8058f6f0f,2,alps4141+austin96,alps4141::alps_08a40e6305c5_to_Equation2,alps4141,alps_08a40e6305c5_to_Equation2,9000045,2,x =  (y * y) * ((x * (x * z)) * z),x = y
exact,exact_c16977045d0c5ab7,2,alps4141+austin96,austin96::order5_austin_unknown_E18212_to_E2,austin96,order5_austin_unknown_E18212_to_E2,18212,2,x = (y * y) * (x * ((x * z) * z)),x = y
exact,exact_c16977045d0c5ab7,2,alps4141+austin96,alps4141::alps_f8cd4f7cdc1b_to_Equation2,alps4141,alps_f8cd4f7cdc1b_to_Equation2,9000046,2,x =  (y * y) * (x * ((x * z) * z)),x = y
exact,exact_0caf2818807914d3,2,alps4141+austin96,austin96::order5_austin_unknown_E12073_to_E2,austin96,order5_austin_unknown_E12073_to_E2,12073,2,x = y * (((y * x) * x) * (z * z)),x = y
exact,exact_0caf2818807914d3,2,alps4141+austin96,alps4141::alps_165c0e44eaea_to_Equation2,alps4141,alps_165c0e44eaea_to_Equation2,9000047,2,x =  y * (((y * x) * x) * (z * z)),x = y
exact,exact_5772e665e0828d54,2,alps4141+austin96,austin96::order5_austin_unknown_E12087_to_E2,austin96,order5_austin_unknown_E12087_to_E2,12087,2,x = y * (((y * x) * z) * (x * z)),x = y
exact,exact_5772e665e0828d54,2,alps4141+austin96,alps4141::alps_be2c81df5a7e_to_Equation2,alps4141,alps_be2c81df5a7e_to_Equation2,9000048,2,x =  y * (((y * x) * z) * (x * z)),x = y
exact,exact_b3cb49dfc43a349d,2,alps4141+austin96,austin96::order5_austin_unknown_E12234_to_E2,austin96,order5_austin_unknown_E12234_to_E2,12234,2,x = y * (((z * x) * y) * (x * y)),x = y
exact,exact_b3cb49dfc43a349d,2,alps4141+austin96,alps4141::alps_3d0bb1b8b323_to_Equation2,alps4141,alps_3d0bb1b8b323_to_Equation2,9000049,2,x =  y * (((z * x) * y) * (x * y)),x = y
exact,exact_3337604f94bb337f,2,alps4141+austin96,austin96::order5_austin_unknown_E13764_to_E2,austin96,order5_austin_unknown_E13764_to_E2,13764,2,x = y * ((x * ((z * y) * y)) * y),x = y
exact,exact_3337604f94bb337f,2,alps4141+austin96,alps4141::alps_1caa6006f587_to_Equation2,alps4141,alps_1caa6006f587_to_Equation2,9000050,2,x =  y * ((x * ((z * y) * y)) * y),x = y
exact,exact_f6025d81754ce584,2,alps4141+austin96,austin96::order5_austin_unknown_E11081_to_E2,austin96,order5_austin_unknown_E11081_to_E2,11081,2,x = y * ((x * (y * x)) * (z * y)),x = y
exact,exact_f6025d81754ce584,2,alps4141+austin96,alps4141::alps_3def433c8689_to_Equation2,alps4141,alps_3def433c8689_to_Equation2,9000051,2,x =  y * ((x * (y * x)) * (z * y)),x = y
exact,exact_0bdf1c44c2d4eb4f,2,alps4141+austin96,austin96::order5_austin_unknown_E11082_to_E2,austin96,order5_austin_unknown_E11082_to_E2,11082,2,x = y * ((x * (y * x)) * (z * z)),x = y
exact,exact_0bdf1c44c2d4eb4f,2,alps4141+austin96,alps4141::alps_e94d0c64acd8_to_Equation2,alps4141,alps_e94d0c64acd8_to_Equation2,9000052,2,x =  y * ((x * (y * x)) * (z * z)),x = y
exact,exact_ec824e81d3a4a0c0,2,alps4141+austin96,austin96::order5_austin_unknown_E11116_to_E2,austin96,order5_austin_unknown_E11116_to_E2,11116,2,x = y * ((x * (z * x)) * (y * y)),x = y
exact,exact_ec824e81d3a4a0c0,2,alps4141+austin96,alps4141::alps_5783943b4587_to_Equation2,alps4141,alps_5783943b4587_to_Equation2,9000053,2,x =  y * ((x * (z * x)) * (y * y)),x = y
exact,exact_027dd1cf11e917b7,2,alps4141+austin96,austin96::order5_austin_unknown_E10218_to_E2,austin96,order5_austin_unknown_E10218_to_E2,10218,2,x = y * ((x * y) * ((z * x) * y)),x = y
exact,exact_027dd1cf11e917b7,2,alps4141+austin96,alps4141::alps_498f062484ed_to_Equation2,alps4141,alps_498f062484ed_to_Equation2,9000054,2,x =  y * ((x * y) * ((z * x) * y)),x = y
exact,exact_480f763d3cbe2d7b,2,alps4141+austin96,austin96::order5_austin_unknown_E10222_to_E2,austin96,order5_austin_unknown_E10222_to_E2,10222,2,x = y * ((x * y) * ((z * y) * y)),x = y
exact,exact_480f763d3cbe2d7b,2,alps4141+austin96,alps4141::alps_c787d22b557c_to_Equation2,alps4141,alps_c787d22b557c_to_Equation2,9000055,2,x =  y * ((x * y) * ((z * y) * y)),x = y
exact,exact_00ececb3d2b10a4c,2,alps4141+austin96,austin96::order5_austin_unknown_E9337_to_E2,austin96,order5_austin_unknown_E9337_to_E2,9337,2,x = y * ((x * y) * (y * (z * y))),x = y
exact,exact_00ececb3d2b10a4c,2,alps4141+austin96,alps4141::alps_99e657326878_to_Equation2,alps4141,alps_99e657326878_to_Equation2,9000056,2,x =  y * ((x * y) * (y * (z * y))),x = y
exact,exact_f3b04c58089d176f,2,alps4141+austin96,austin96::order5_austin_unknown_E9345_to_E2,austin96,order5_austin_unknown_E9345_to_E2,9345,2,x = y * ((x * y) * (z * (y * y))),x = y
exact,exact_f3b04c58089d176f,2,alps4141+austin96,alps4141::alps_1c24f8da9d0b_to_Equation2,alps4141,alps_1c24f8da9d0b_to_Equation2,9000057,2,x =  y * ((x * y) * (z * (y * y))),x = y
exact,exact_4749e0e4fdb48139,2,alps4141+austin96,austin96::order5_austin_unknown_E9384_to_E2,austin96,order5_austin_unknown_E9384_to_E2,9384,2,x = y * ((x * z) * (y * (z * z))),x = y
exact,exact_4749e0e4fdb48139,2,alps4141+austin96,alps4141::alps_07ca26ac9fe3_to_Equation2,alps4141,alps_07ca26ac9fe3_to_Equation2,9000058,2,x =  y * ((x * z) * (y * (z * z))),x = y
exact,exact_9a1954d2982c8bd7,2,alps4141+austin96,austin96::order5_austin_unknown_E13849_to_E2,austin96,order5_austin_unknown_E13849_to_E2,13849,2,x = y * ((y * ((x * z) * z)) * z),x = y
exact,exact_9a1954d2982c8bd7,2,alps4141+austin96,alps4141::alps_176e54a4ad19_to_Equation2,alps4141,alps_176e54a4ad19_to_Equation2,9000059,2,x =  y * ((y * ((x * z) * z)) * z),x = y
exact,exact_828c0ef64f239cd4,2,alps4141+austin96,austin96::order5_austin_unknown_E11205_to_E2,austin96,order5_austin_unknown_E11205_to_E2,11205,2,x = y * ((y * (x * y)) * (z * y)),x = y
exact,exact_828c0ef64f239cd4,2,alps4141+austin96,alps4141::alps_bc80deb2f19b_to_Equation2,alps4141,alps_bc80deb2f19b_to_Equation2,9000060,2,x =  y * ((y * (x * y)) * (z * y)),x = y
exact,exact_96bd88686c1624ef,2,alps4141+austin96,austin96::order5_austin_unknown_E11280_to_E2,austin96,order5_austin_unknown_E11280_to_E2,11280,2,x = y * ((y * (z * y)) * (x * y)),x = y
exact,exact_96bd88686c1624ef,2,alps4141+austin96,alps4141::alps_667536b29282_to_Equation2,alps4141,alps_667536b29282_to_Equation2,9000061,2,x =  y * ((y * (z * y)) * (x * y)),x = y
exact,exact_1ccf2a76189ee3dc,2,alps4141+austin96,austin96::order5_austin_unknown_E13992_to_E2,austin96,order5_austin_unknown_E13992_to_E2,13992,2,x = y * ((z * ((x * y) * y)) * y),x = y
exact,exact_1ccf2a76189ee3dc,2,alps4141+austin96,alps4141::alps_7a250fce754c_to_Equation2,alps4141,alps_7a250fce754c_to_Equation2,9000062,2,x =  y * ((z * ((x * y) * y)) * y),x = y
exact,exact_86671af267edc6c0,2,alps4141+austin96,austin96::order5_austin_unknown_E9603_to_E2,austin96,order5_austin_unknown_E9603_to_E2,9603,2,x = y * ((z * x) * (y * (x * y))),x = y
exact,exact_86671af267edc6c0,2,alps4141+austin96,alps4141::alps_9524390945d9_to_Equation2,alps4141,alps_9524390945d9_to_Equation2,9000063,2,x =  y * ((z * x) * (y * (x * y))),x = y
exact,exact_cecf4529e80e9924,2,alps4141+austin96,austin96::order5_austin_unknown_E9663_to_E2,austin96,order5_austin_unknown_E9663_to_E2,9663,2,x = y * ((z * y) * (x * (x * y))),x = y
exact,exact_cecf4529e80e9924,2,alps4141+austin96,alps4141::alps_f298bf719eb0_to_Equation2,alps4141,alps_f298bf719eb0_to_Equation2,9000064,2,x =  y * ((z * y) * (x * (x * y))),x = y
exact,exact_e8a228223bdd2d3e,2,alps4141+austin96,austin96::order5_austin_unknown_E9667_to_E2,austin96,order5_austin_unknown_E9667_to_E2,9667,2,x = y * ((z * y) * (x * (y * y))),x = y
exact,exact_e8a228223bdd2d3e,2,alps4141+austin96,alps4141::alps_e0308d2069a7_to_Equation2,alps4141,alps_e0308d2069a7_to_Equation2,9000065,2,x =  y * ((z * y) * (x * (y * y))),x = y
